# C name -> luce-js name, for every quickjs.c function whose name changes.
__async_func_free async_func_free_raw
JS_RegExpExec js_reg_exp_exec
JS_ResizeAtomHash js_resize_atom_hash
js_resolve_module js_resolve_module_internal
JS_ResolveModule js_resolve_module
JS_RunGC js_run_gc
JS_RunGCInternal js_run_gc_internal
js_same_value js_same_value_internal
js_same_value_zero js_same_value_zero_internal
JS_SameValue js_same_value
JS_SameValueZero js_same_value_zero
js_set_isDisjointFrom js_set_is_disjoint_from
js_set_isSubsetOf js_set_is_subset_of
js_set_isSupersetOf js_set_is_superset_of
js_set_symmetricDifference js_set_symmetric_difference
JS_SetCanBlock js_set_can_block
JS_SetClassProto js_set_class_proto
JS_SetConstructor js_set_constructor
JS_SetConstructor2 js_set_constructor2
JS_SetConstructorBit js_set_constructor_bit
JS_SetContextOpaque js_set_context_opaque
JS_SetGCThreshold js_set_gc_threshold
JS_SetHostPromiseRejectionTracker js_set_host_promise_rejection_tracker
JS_SetImmutablePrototype js_set_immutable_prototype
JS_SetInterruptHandler js_set_interrupt_handler
JS_SetIsHTMLDDA js_set_is_htmldda
JS_SetMaxStackSize js_set_max_stack_size
JS_SetMemoryLimit js_set_memory_limit
JS_SetModuleExport js_set_module_export
JS_SetModuleExportList js_set_module_export_list
JS_SetModuleLoaderFunc js_set_module_loader_func
JS_SetModuleLoaderFunc2 js_set_module_loader_func2
JS_SetModulePrivateValue js_set_module_private_value
JS_SetObjectData js_set_object_data
JS_SetOpaque js_set_opaque
JS_SetPrivateField js_set_private_field
JS_SetPropertyFunctionList js_set_property_function_list
JS_SetPropertyInt64 js_set_property_int64
JS_SetPropertyInternal js_set_property_internal
JS_SetPropertyStr js_set_property_str
JS_SetPropertyUint32 js_set_property_uint32
JS_SetPropertyValue js_set_property_value
JS_SetPrototype js_set_prototype
JS_SetPrototypeInternal js_set_prototype_internal
JS_SetRuntimeInfo js_set_runtime_info
JS_SetRuntimeOpaque js_set_runtime_opaque
JS_SetSharedArrayBufferFunctions js_set_shared_array_buffer_functions
JS_SetStripInfo js_set_strip_info
JS_SetThisTimeValue js_set_this_time_value
JS_SetUncatchableException js_set_uncatchable_exception
JS_SpeciesConstructor js_species_constructor
js_strict_eq js_strict_eq_internal
JS_StrictEq js_strict_eq
js_string___isSpace js_string__is_space
js_string_charAt js_string_char_at
js_string_charCodeAt js_string_char_code_at
js_string_codePointAt js_string_code_point_at
js_string_codePointRange js_string_code_point_range
js_string_CreateHTML js_string_create_html
js_string_fromCharCode js_string_from_char_code
js_string_fromCodePoint js_string_from_code_point
js_string_GetSubstitution js_string_get_substitution
js_string_indexOf js_string_index_of
js_string_isWellFormed js_string_is_well_formed
js_string_localeCompare js_string_locale_compare
js_string_toLowerCase js_string_to_lower_case
js_string_toString js_string_to_string
js_string_toWellFormed js_string_to_well_formed
JS_StringToBigInt js_string_to_bigint
JS_StringToBigIntErr js_string_to_bigint_err
js_symbol_keyFor js_symbol_key_for
js_symbol_toString js_symbol_to_string
js_symbol_valueOf js_symbol_value_of
js_thisBigIntValue js_this_bigint_value
js_thisBooleanValue js_this_boolean_value
js_thisNumberValue js_this_number_value
js_thisStringValue js_this_string_value
js_thisSymbolValue js_this_symbol_value
JS_ThisTimeValue js_this_time_value
JS_Throw js_throw
js_throw_type_error js_throw_type_error_internal
js_throw_URIError js_throw_uri_error
JS_ThrowError js_throw_error
JS_ThrowError2 js_throw_error2
JS_ThrowInternalError js_throw_internal_error
JS_ThrowInterrupted js_throw_interrupted
JS_ThrowOutOfMemory js_throw_out_of_memory
JS_ThrowRangeError js_throw_range_error
JS_ThrowReferenceError js_throw_reference_error
JS_ThrowReferenceErrorNotDefined js_throw_reference_error_not_defined
JS_ThrowReferenceErrorUninitialized js_throw_reference_error_uninitialized
JS_ThrowReferenceErrorUninitialized2 js_throw_reference_error_uninitialized2
JS_ThrowStackOverflow js_throw_stack_overflow
JS_ThrowSyntaxError js_throw_syntax_error
JS_ThrowSyntaxErrorVarRedeclaration js_throw_syntax_error_var_redeclaration
JS_ThrowTypeError js_throw_type_error
JS_ThrowTypeErrorArrayBufferOOB js_throw_type_error_array_buffer_oob
JS_ThrowTypeErrorDetachedArrayBuffer js_throw_type_error_detached_array_buffer
JS_ThrowTypeErrorInvalidClass js_throw_type_error_invalid_class
JS_ThrowTypeErrorNotAConstructor js_throw_type_error_not_a_constructor
JS_ThrowTypeErrorNotAnObject js_throw_type_error_not_an_object
JS_ThrowTypeErrorNotASymbol js_throw_type_error_not_a_symbol
JS_ThrowTypeErrorOrFalse js_throw_type_error_or_false
JS_ThrowTypeErrorPrivateNotFound js_throw_type_error_private_not_found
JS_ThrowTypeErrorReadOnly js_throw_type_error_read_only
JS_ThrowTypeErrorRevokedProxy js_throw_type_error_revoked_proxy
JS_ToArrayLengthFree js_to_array_length_free
JS_ToBigInt js_to_bigint
JS_ToBigInt64 js_to_bigint64
JS_ToBigInt64Free js_to_bigint64_free
JS_ToBigIntBuf js_to_bigint_buf
JS_ToBigIntCtorFree js_to_bigint_ctor_free
JS_ToBigIntFree js_to_bigint_free
JS_ToBool js_to_bool
JS_ToBoolFree js_to_bool_free
JS_ToFloat64 js_to_float64
JS_ToFloat64Free js_to_float64_free
JS_ToIndex js_to_index
JS_ToInt32 js_to_int32
JS_ToInt32Clamp js_to_int32_clamp
JS_ToInt32Free js_to_int32_free
JS_ToInt32Sat js_to_int32_sat
JS_ToInt32SatFree js_to_int32_sat_free
JS_ToInt64 js_to_int64
JS_ToInt64Clamp js_to_int64_clamp
JS_ToInt64Ext js_to_int64_ext
JS_ToInt64Free js_to_int64_free
JS_ToInt64Sat js_to_int64_sat
JS_ToInt64SatFree js_to_int64_sat_free
JS_ToIntegerFree js_to_integer_free
JS_ToLengthFree js_to_length_free
JS_ToLocaleStringFree js_to_locale_string_free
JS_ToNumber js_to_number
JS_ToNumberFree js_to_number_free
JS_ToNumberHintFree js_to_number_hint_free
JS_ToNumeric js_to_numeric
JS_ToNumericFree js_to_numeric_free
JS_ToObject js_to_object
JS_ToObjectFree js_to_object_free
JS_ToPrimitive js_to_primitive
JS_ToPrimitiveFree js_to_primitive_free
JS_ToPropertyKey js_to_property_key
JS_ToQuotedString js_to_quoted_string
JS_ToString js_to_string
JS_ToStringCheckObject js_to_string_check_object
JS_ToStringFree js_to_string_free
JS_ToStringInternal js_to_string_internal
JS_ToUint32Free js_to_uint32_free
JS_ToUint8ClampFree js_to_uint8_clamp_free
JS_ToUTF32String js_to_utf32_string
JS_TryGetPropertyInt64 js_try_get_property_int64
js_typed_array___create js_typed_array__create
js_typed_array___speciesCreate js_typed_array__species_create
js_typed_array_copyWithin js_typed_array_copy_within
js_typed_array_get_byteLength js_typed_array_get_byte_length
js_typed_array_get_byteOffset js_typed_array_get_byte_offset
js_typed_array_get_toStringTag js_typed_array_get_to_string_tag
js_typed_array_indexOf js_typed_array_index_of
js_typed_array_toReversed js_typed_array_to_reversed
js_typed_array_toSorted js_typed_array_to_sorted
JS_UpdateStackTop js_update_stack_top
js_UTF32_compare js_utf32_compare
JS_ValueToAtom js_value_to_atom
JS_WriteArray js_write_array
JS_WriteArrayBuffer js_write_array_buffer
JS_WriteBigInt js_write_bigint
JS_WriteFunctionBytecode js_write_function_bytecode
JS_WriteFunctionTag js_write_function_tag
JS_WriteModule js_write_module
JS_WriteObject js_write_object
JS_WriteObject2 js_write_object2
JS_WriteObjectAtoms js_write_object_atoms
JS_WriteObjectRec js_write_object_rec
JS_WriteObjectTag js_write_object_tag
JS_WriteSharedArrayBuffer js_write_shared_array_buffer
JS_WriteString js_write_string
JS_WriteTypedArray js_write_typed_array
remainingElementsCount_add remaining_elements_count_add
